Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
N. McGinn,31,152.4,73,"LM,RM",Northern Ireland,70,70,1700000,5000
L. Lacroix,27,198.12,92.1,CB,Switzerland,70,72,1800000,15000
I. Bel Hassani,26,175.26,72.1,"CAM,RM",Morocco,70,72,2200000,8000
L. Lollo,31,182.88,84.8,CB,Argentina,70,70,1200000,11000
F. Jungwirth,30,154.94,79.8,"CB,CDM",Germany,70,70,1400000,5000
J. Silbeira,23,185.42,91.2,GK,Paraguay,70,72,,
E. Bush,33,185.42,83,GK,United States,70,70,1000000,4000
Campillo,28,175.26,69.9,"LM,CAM",Spain,70,70,1900000,6000
F. Ondoa,23,185.42,89.8,GK,Cameroon,70,76,1800000,6000
F. Mancinelli,36,154.94,79.8,CB,Argentina,70,70,240000,6000
K. Overmeire,33,187.96,83.9,CDM,Belgium,70,70,1000000,8000
H. Campagnaro,38,154.94,84.8,CB,Argentina,70,70,240000,2000
N. ÄurÄ‘iÄ‡,32,182.88,77.1,ST,Serbia,70,70,1400000,5000
Hugo Vieira,30,152.4,73,"ST,RW,CF",Portugal,70,70,1800000,10000
R. Loaiza,24,154.94,69.9,"CM,CDM",Colombia,70,76,2400000,3000
B. Khuzwayo,29,190.5,74.8,GK,South Africa,70,72,1500000,1000
A. Salvi,30,182.88,76.2,"RB,LB,RM",Italy,70,70,1300000,3000
J. ZÃ¡rate,27,167.64,64,"LM,RM",Mexico,70,70,1900000,5000
S. Bornauw,19,190.5,88,CB,Belgium,70,82,2700000,4000
Ã“scar,20,175.26,68,"CM,LM",Spain,70,83,3400000,44000
M. Parkhurst,35,154.94,72.1,CB,United States,70,70,550000,5000
M. RodÃ¡k,22,195.58,84.8,GK,Slovakia,70,77,1900000,13000
Rodri,28,175.26,73.9,ST,Spain,70,70,1800000,7000
L. MareÄek,28,182.88,78.9,"CM,CDM,CAM",Czech Republic,70,70,1800000,9000
A. Nordin,20,170.18,68.9,LM,France,70,80,2900000,12000
J. Siebatcheu,22,190.5,83.9,ST,France,70,77,2500000,16000
Joel Pereira,22,187.96,69.9,GK,Portugal,70,78,2000000,31000
S. Muntari,34,152.4,76.2,"CM,CDM",Ghana,70,70,1000000,5000
A. TchouamÃ©ni,19,185.42,79.8,CM,France,70,84,3600000,10000
Jhonatan,27,187.96,78.9,GK,Brazil,70,72,1400000,3000
R. EcheverrÃ­a,23,154.94,73,"CB,CDM,CM",Chile,70,76,2100000,6000
A. Bernardini,32,190.5,73,CB,Italy,70,70,1200000,3000
B. Schmitz,24,182.88,74.8,"RB,LB,CDM",Germany,70,73,1900000,9000
D. Bisoli,24,154.94,72.1,"CM,CAM",Italy,70,74,2300000,3000
I. Sylla,28,185.42,73,ST,Guinea,70,70,1900000,10000
M. Dawson,35,187.96,76.2,CB,England,70,70,550000,24000
A. Fathi,34,175.26,76.2,"RB,CDM",Egypt,70,70,,
E. LÃ¶wen,22,187.96,91.2,"CDM,CM,CB,LM",Germany,70,80,2500000,9000
R. Green,39,187.96,92.1,GK,England,70,70,120000,21000
L. Tawamba,29,187.96,84.8,ST,Cameroon,70,70,1800000,14000
P. Galdames,22,175.26,68,"CM,CDM",Chile,70,80,2800000,7000
M. MÃ¼ller,25,193.04,89.8,GK,Germany,70,75,1700000,15000
Unai Medina,29,152.4,78,RB,Spain,70,70,1400000,6000
S. Allagui,32,152.4,77.1,"ST,RM,CAM",Tunisia,70,70,1400000,11000
A. BastÃ­a,40,152.4,73.9,"CDM,CM",Argentina,70,70,120000,5000
T. Kempe,29,182.88,77.1,"CM,RM,CAM",Germany,70,70,1700000,12000
Z. TourÃ©,29,182.88,78.9,CB,Senegal,70,70,1400000,16000
Fidel,29,154.94,73.9,"LM,RM",Spain,70,70,1800000,7000
O. KolÃ¡Å™,24,193.04,81.2,GK,Czech Republic,70,77,1800000,1000
Zapater,33,154.94,79.8,"CM,CDM",Spain,70,70,1000000,6000
Crivellaro,30,182.88,78,"CAM,CM",Brazil,70,70,1700000,8000
K. Zachariassen,24,154.94,73.9,"CM,LM",Norway,70,76,2400000,3000
Eltson Marques,27,187.96,88,CB,Brazil,70,70,1500000,13000
Minhoca,30,175.26,66.2,"CAM,RW,LW",Portugal,70,70,1700000,4000
S. Kitsiou,25,172.72,69.9,"RB,RWB",Greece,70,74,1900000,10000
E. Ambrose,30,190.5,69.9,"CB,RB",Nigeria,70,70,1400000,22000
Nuno AndrÃ© Coelho,33,193.04,82.1,CB,Portugal,70,70,1000000,6000
Fali,25,185.42,83.9,"CB,CDM,CM",Spain,70,75,2000000,5000
S. Magnasco,26,175.26,72.1,RB,Chile,70,71,1700000,6000
Yang Han Been,27,195.58,89.8,GK,Korea Republic,70,72,1500000,4000
Carlos MartÃ­nez,32,187.96,78.9,RB,Spain,70,70,975000,6000
P. SzymiÅ„ski,24,185.42,76.2,"CB,RB",Poland,70,78,2300000,2000
A. Schenetti,28,175.26,72.1,"CAM,CM",Italy,70,70,1900000,2000
F. MalbaÅ¡iÄ‡,26,182.88,78.9,"ST,CAM,LM",Serbia,70,73,2300000,7000
Matheus,27,193.04,88,"CB,LB",Brazil,70,72,1800000,7000
T. Sparv,32,193.04,83.9,"CM,CDM",Finland,70,70,1500000,13000
Eduardo Henrique,23,187.96,73,"CDM,CM",Brazil,70,77,2100000,4000
O. OularÃ©,23,195.58,98.9,ST,Belgium,70,77,2500000,25000
M. Å itum,26,152.4,76.2,"LM,LW,RM,RB",Croatia,70,71,2100000,1000
S. MugoÅ¡a,27,187.96,79.8,"ST,RW",Montenegro,70,71,2100000,4000
Kim Kee Hee,29,187.96,78,"CB,RB",Korea Republic,70,70,1400000,5000
G. Hairemans,27,182.88,76.2,"CAM,CM,LW",Belgium,70,71,2100000,7000
J. Une Larsson,24,154.94,73.9,"CB,RB",Sweden,70,74,2000000,3000
A. Tziolis,34,190.5,89.8,"CDM,CB,CM",Greece,70,70,725000,11000
N. Zaniolo,19,190.5,78.9,"CAM,CM,RW",Italy,70,87,3700000,14000
G. PrÃ¶mel,24,182.88,78,"CM,CDM",Germany,70,77,2500000,15000
J. Morris,24,182.88,83.9,"ST,LM,RM",United States,70,76,2500000,5000
Diego Caballo,25,172.72,68.9,"LB,LM",Spain,70,74,1900000,5000
F. Peluso,35,187.96,82.1,"LB,CB",Italy,70,70,500000,23000
M. Bokadi,26,185.42,79.8,"CB,CDM",DR Congo,70,74,1900000,8000
I. Brown,22,182.88,69.9,"CAM,LM",England,70,78,2600000,17000
C. Cisneros,25,175.26,73.9,"LM,RM",Mexico,70,72,2200000,17000
D. BÃ¶de,32,190.5,84.8,ST,Hungary,70,70,,
Bruno Gallo,30,182.88,73.9,"CM,CDM",Brazil,70,70,1600000,6000
B. HÃ¤mÃ¤lÃ¤inen,29,152.4,79.8,"CB,LB",Denmark,70,70,1400000,11000
C. Mepham,21,190.5,74.8,CB,Wales,70,79,2400000,20000
H. Faik,26,190.5,78,"CM,CDM",Netherlands,70,72,2100000,9000
N. Champagne,34,190.5,82.1,GK,Argentina,70,70,900000,5000
D. Kownacki,21,187.96,74.8,ST,Poland,70,82,3200000,15000
Y. Reyna,25,170.18,68,"ST,CAM",Peru,70,75,2400000,5000
L. Galeano,27,182.88,83.9,CB,Argentina,70,72,1800000,7000
D. Ndlovu,29,175.26,74.8,ST,South Africa,70,70,,
FlÃ¡vio,24,190.5,86.2,CB,Brazil,70,75,2000000,6000
D. Post,29,190.5,93.9,CDM,Netherlands,70,70,1400000,5000
N. PÃ©rez,18,185.42,74.8,CB,Argentina,70,84,3300000,9000
E. Elmas,19,182.88,73.9,"CM,CAM",FYR Macedonia,70,83,3100000,15000
Luisinho,27,175.26,67.1,"RM,LM,CAM",Brazil,70,70,1900000,14000
Jamiro Monteiro,25,175.26,72.1,"CM,CAM",Cape Verde,70,75,2300000,4000
Milton Menceiros,27,182.88,83.9,CB,Brazil,70,70,1500000,11000
A. SÃ¸derlund,31,187.96,86.2,ST,Norway,70,70,1700000,5000
A. Benedetti,27,170.18,64,LB,Italy,70,70,1500000,2000
V. Malcorra,31,170.18,73.9,"CM,CDM,LM",Argentina,70,70,1600000,12000
S. Asamoah,24,162.56,64,"CDM,CM",Ghana,70,75,2000000,6000
M. Cavion,24,154.94,73.9,"CM,RM",Italy,70,74,2300000,3000
M. Maddison,25,154.94,71.2,"RM,CAM,LM",England,70,73,2300000,6000
A. Fiola,29,182.88,69.9,"RB,CB,LB",Hungary,70,70,,
E. Brignola,19,167.64,71.2,"CAM,RW,CF,RM",Italy,70,84,3700000,12000
Borja Herrera,26,175.26,69.9,"LB,LWB",Spain,70,72,1800000,5000
L. Licht,37,175.26,72.1,"LB,LWB,LM",Argentina,70,70,200000,6000
R. Torres,32,187.96,88,CB,Panama,70,70,1000000,5000
A. Bodzek,33,182.88,81.2,"CDM,CB",Poland,70,70,1000000,15000
E. Ersoy,22,187.96,82.1,"CB,RB",Turkey,70,80,2500000,7000
J. ZacarÃ­a,29,172.72,76.2,"LM,LB,LW",Argentina,70,70,1800000,8000
M. te Wierik,26,190.5,73,"CB,RB",Netherlands,70,73,1800000,5000
G. Scognamiglio,31,185.42,78,CB,Italy,70,70,1200000,3000
P. Kanstrup,30,187.96,81.2,CB,Denmark,70,70,1400000,8000
L. Vido,22,182.88,74.8,"ST,CF",Italy,70,80,2900000,12000
B. Rienstra,28,182.88,67.1,"CM,CAM",Netherlands,70,70,1800000,6000
J. Insaurralde,34,187.96,87.1,CB,Argentina,70,70,725000,5000
B. Angulo,29,175.26,73.9,"LB,LWB",Colombia,70,70,1400000,5000
Ivanildo Fernandes,22,193.04,84.8,CB,Portugal,70,79,2400000,6000
N. Reniero,23,182.88,78.9,"ST,CAM",Argentina,70,79,2800000,11000
S. PeÃ±a,23,152.4,73.9,"CAM,CM",Peru,70,76,2400000,5000
Pol Llonch,26,170.18,69.9,"CDM,CM",Spain,70,73,1900000,5000
T. Figueroa,27,190.5,89.8,ST,Argentina,70,71,2100000,3000
P. Haring,25,187.96,84.8,"CDM,CB,CM",Austria,70,77,2100000,5000
F. Al Ansari,32,195.58,73,"CDM,CM,CB",Kuwait,70,70,1200000,13000
M. PÃ¡tkai,31,172.72,64,"CDM,CM",Hungary,70,70,,
V. Lampropoulos,28,185.42,83,CB,Greece,70,70,1400000,1000
M. Diemers,25,175.26,69.9,"CAM,CM",Netherlands,70,73,2300000,5000
C. Walton,23,195.58,74.8,GK,England,70,79,2100000,15000
S. Bain,27,154.94,83.9,GK,Scotland,70,74,1600000,20000
Manu Barreiro,32,190.5,81.2,ST,Spain,70,70,1600000,6000
Bernardo Motinho,27,152.4,73.9,"RB,RM",Brazil,70,70,1500000,14000
D. Petratos,26,175.26,72.1,"RM,CAM",Australia,70,70,1900000,3000
J. Joronen,25,198.12,88.9,GK,Finland,70,74,1600000,8000
LicÃ¡,30,154.94,69.9,"RW,LW",Portugal,70,70,1700000,5000
J. Medranda,25,172.72,68,"LB,CM,LW",Colombia,70,74,1900000,4000
I. ObradoviÄ‡,30,154.94,79.8,"LB,LWB,CB",Serbia,70,70,1300000,11000
K. Watanabe,32,182.88,77.1,"ST,LW,LM,CF",Japan,70,70,1600000,8000
VÃ­tor Bruno,29,170.18,64.9,"LB,LM",Portugal,70,70,1400000,7000
J. Giraudon,27,182.88,71.2,"CDM,CB",France,70,72,1800000,5000
D. Batth,28,190.5,89.8,CB,England,70,72,1700000,21000
RogÃ©rio,21,152.4,69.9,"LM,LB",Brazil,70,85,3900000,32000
Y. Gomis,27,154.94,76.2,"ST,RM",Senegal,70,71,2100000,7000
J. FÃ©ret,36,187.96,76.2,"CM,CAM",France,70,70,750000,4000
J. Komar,22,187.96,82.1,CB,Argentina,70,80,2500000,6000
F. Ballas,26,195.58,96.2,CB,Germany,70,73,1900000,10000
M. Saymak,26,170.18,63,CAM,Netherlands,70,73,2200000,8000
C. Eiting,21,152.4,76.2,"CM,CDM",Netherlands,70,79,2700000,7000
Ademilson,25,175.26,73.9,ST,Brazil,70,74,2400000,7000
C. Zimmermann,26,193.04,92.1,CB,Germany,70,75,2000000,14000
D. Beasley,36,172.72,68,LB,United States,70,70,200000,3000
Daguinho Parrela,35,185.42,81.2,"RB,RWB",Brazil,70,70,500000,13000
T. Malacia,19,170.18,67.1,LB,Netherlands,70,80,2200000,3000
Artur Jorge,24,185.42,79.8,CB,Portugal,70,75,2000000,3000
G. Magnani,23,190.5,87.1,CB,Italy,70,80,2500000,20000
M. Lacen,34,175.26,73.9,"CDM,CM",Algeria,70,70,550000,6000
B. Johnson,31,152.4,68,"CDM,CM",England,70,70,1200000,21000
Jung Seok Hwa,27,170.18,63,"CAM,RM,LM",Korea Republic,70,71,2000000,4000
T. Boyd,24,154.94,66.2,"RM,LM",New Zealand,70,74,2300000,5000
AndrÃ© Santos,30,154.94,73,"CM,CDM",Portugal,70,70,1700000,5000
K. Wolze,28,175.26,69.9,"LB,LM",Germany,70,70,1400000,5000
A. Micai,25,185.42,77.1,GK,Italy,70,76,1800000,2000
P. Alvarado,33,154.94,79.8,CB,Argentina,70,70,1000000,2000
C. Quintero,30,187.96,73.9,"RM,LM,CDM,CM",Colombia,70,70,1700000,1000
L. Acosta,23,187.96,83.9,GK,Argentina,70,78,2000000,5000
J. Cevallos,24,185.42,76.2,"CAM,CM",Ecuador,70,75,2400000,7000
P. Bauer,26,193.04,88,CB,Germany,70,75,2000000,7000
M. Mustacchio,29,154.94,78,"RM,ST,RW",Italy,70,70,1700000,3000
A. Cissokho,31,154.94,78.9,LB,France,70,70,1300000,9000
JÃºlio CÃ©sar,23,187.96,83,CB,Brazil,70,75,2000000,5000
C. Wondolowski,36,182.88,77.1,ST,United States,70,70,825000,4000
S. Vegas,22,182.88,79.8,"LB,CB",Chile,70,78,2200000,4000
M. Ingvartsen,23,185.42,83.9,ST,Denmark,70,76,2500000,9000
J. Pi,25,154.94,73.9,"CDM,CM",France,70,75,2000000,12000
A. Rocha,26,167.64,68,"CM,CDM",Mexico,70,71,2100000,6000
M. Caballero,24,175.26,64.9,ST,Paraguay,70,75,2400000,3000
L. KÃ¼bler,26,182.88,73,"RB,RWB",Germany,70,71,1700000,12000
Kalindi,25,170.18,62.1,RB,Brazil,70,73,1900000,5000
E. Tercero,22,182.88,68.9,CB,Mexico,70,77,2100000,21000
FlÃ¡vio Rebeilo,27,175.26,68.9,LB,Brazil,70,70,1500000,9000
N. StojiljkoviÄ‡,26,182.88,76.2,ST,Serbia,70,73,2300000,8000
Jeong Seung Hyun,24,187.96,88.9,CB,Korea Republic,70,76,2100000,6000
D. PetriÄ‡,30,187.96,79.8,GK,Serbia,70,70,1100000,9000
Platiny,28,152.4,71.2,ST,Brazil,70,70,1900000,7000
O. LinnÃ©r,22,198.12,82.1,GK,Sweden,70,76,1800000,3000
P. Iemmello,27,152.4,73.9,ST,Italy,70,73,2200000,4000
A. Ferrari,24,182.88,69.9,"RB,CB",Italy,70,75,2000000,13000
A. Niane,25,182.88,69.9,ST,Mali,70,73,2300000,9000
M. Terrazzino,27,152.4,77.1,LM,Germany,70,70,1900000,13000
Kim Jong Woo,25,154.94,64.9,CM,Korea Republic,70,73,2200000,5000
P. StojanoviÄ‡,23,152.4,72.1,"RB,RM",Slovenia,70,74,1900000,1000
NenÃª Bonilha,27,175.26,68.9,"CAM,CM",Brazil,70,71,2100000,5000
M. Silva,29,185.42,82.1,CB,Uruguay,70,70,1400000,5000
Lisandro Semedo,22,175.26,73.9,RW,Portugal,70,76,2400000,5000
J. DompÃ©,23,170.18,64.9,"LW,RW",France,70,75,2400000,11000
K. Mahachi,25,170.18,60.8,"LW,CAM,RW,LM",Zimbabwe,70,73,2300000,1000
FÃ¡bio Sturgeon,25,182.88,68.9,"RM,LM",Portugal,70,73,2300000,6000
F. Meza,28,175.26,73.9,CB,Argentina,70,71,1600000,8000
Li Xuepeng,30,185.42,76.2,LB,China PR,70,70,1300000,10000
C. Guanca,25,152.4,78,"ST,LM,CAM",Argentina,70,73,2300000,8000
C. Buonaiuto,26,152.4,68,"LW,CAM",Italy,70,71,2100000,3000
B. Vidal,27,152.4,77.1,CB,Chile,70,72,1700000,6000
S. Romagnoli,29,193.04,84.8,CB,Italy,70,70,1400000,8000
Borja FernÃ¡ndez,38,187.96,82.1,CDM,Spain,70,70,240000,7000
U. Bozok,22,152.4,74.8,ST,France,70,79,2800000,9000
K. Ãrnason,36,190.5,82.1,CB,Iceland,70,70,,
L. Mazzoni,34,190.5,78,GK,Italy,70,70,725000,2000
Z. Gano,25,198.12,91.2,ST,Belgium,70,73,2300000,9000
L. Abram,23,154.94,76.2,CB,Peru,70,79,2400000,7000
J. Fulton,24,182.88,78,"CDM,CM",Scotland,70,77,2100000,12000
D. RodrÃ­guez,23,175.26,68,"ST,RM",Colombia,70,79,2800000,2000
P. McNair,23,182.88,72.1,"CDM,CM,CB",Northern Ireland,70,78,2300000,22000
K. GroÃŸkreutz,30,185.42,77.1,"RB,LM,RM",Germany,70,70,1300000,5000
L. Pico,27,152.4,77.1,CDM,Colombia,70,73,1800000,2000
R. Fiamozzi,25,152.4,76.2,"RB,RM,LB",Italy,70,73,1800000,3000
K. SigÃ¾Ã³rsson,28,187.96,87.1,ST,Iceland,70,70,1800000,16000
Helton Leite,28,195.58,93,GK,Brazil,70,72,1400000,4000
B. Oviedo,29,172.72,69.9,"LB,LWB",Costa Rica,70,70,1400000,8000
P. Schuurs,19,193.04,78.9,CB,Netherlands,70,82,2600000,4000
E. Loeschbor,32,154.94,78,CB,Argentina,70,70,1200000,13000
D. Croce,36,172.72,69.9,CM,Italy,70,70,750000,2000
N. Wells,28,170.18,68.9,ST,Bermuda,70,70,1800000,30000
L. Jans,26,152.4,76.2,RB,Luxembourg,70,72,1800000,4000
M. Aarons,19,175.26,68.9,RB,England,70,85,3300000,6000
R. Del Castillo,22,172.72,59.9,RM,France,70,77,2500000,14000
M. El-Munir,26,152.4,76.2,"LB,LM",Libya,70,73,1800000,5000
F. Pizzini,25,152.4,73.9,"LM,RM,LW,ST",Argentina,70,73,2300000,10000
C. Valenzuela,27,162.56,59.9,CAM,Chile,70,71,2100000,3000
JoÃ£ozinho,29,185.42,72.1,LB,Portugal,70,70,1400000,4000
W. RÃ©my,27,182.88,78.9,"CB,CDM",France,70,71,1700000,6000
Murilo Freitas,22,175.26,66.2,"LW,CAM",Brazil,70,80,2900000,6000
S. Kurumaya,26,152.4,73,"LB,CB",Japan,70,72,1800000,5000
E. Kwateng,21,154.94,74.8,RB,France,70,78,2200000,9000
J. de Wijs,24,187.96,94.8,CB,Netherlands,70,74,2000000,12000
M. Camporese,26,185.42,74.8,CB,Italy,70,71,1700000,2000
Kwon Soon Hyung,32,175.26,71.2,"CM,CAM",Korea Republic,70,70,1300000,4000
A. Coeff,27,185.42,72.1,"CDM,RB,CM",France,70,73,1800000,4000
AndrÃ© Moreira,23,193.04,83.9,GK,Portugal,70,79,2100000,15000
S. Dursun,27,187.96,78.9,"CB,RB",Turkey,70,72,1800000,9000
A. RenterÃ­a,26,152.4,78.9,"ST,LM",Colombia,70,73,2300000,15000
A. Turan,26,175.26,78.9,"LB,LM",Turkey,70,72,1800000,8000
A. BoljeviÄ‡,23,182.88,77.1,"RM,LM,ST",Montenegro,70,75,2400000,6000
S. Ã‡inaz,33,187.96,77.1,"CDM,CB",Germany,70,70,1000000,8000
P. Sandler,22,190.5,82.1,CB,Netherlands,70,83,3100000,33000
S. Posch,21,187.96,76.2,CB,Austria,70,78,2300000,11000
J. Minala,22,182.88,83.9,CM,Cameroon,70,76,2400000,17000
D. MiloÅ¡eviÄ‡,24,182.88,73,"CAM,ST,LM",Bosnia Herzegovina,70,75,2400000,9000
C. Michelin,21,152.4,63,"RB,RM,LB",France,70,79,2400000,10000
L. Mousset,23,182.88,79.8,"ST,RM,LW",France,70,75,2400000,29000
Jeong Jae Yong,28,187.96,78,CDM,Korea Republic,70,70,1500000,5000
E. Korkmaz,36,182.88,83,CB,Turkey,70,70,425000,6000
G. Bouzoukis,20,172.72,67.1,"CAM,CM,RW",Greece,70,80,2900000,1000
I. Sissoko,21,193.04,88,"CM,CDM",France,70,83,3400000,8000
D. Moor,35,182.88,74.8,CB,United States,70,70,550000,5000
M. Tahrat,29,193.04,86.2,CB,Algeria,70,70,1400000,6000
Aketxe,25,175.26,67.1,"CAM,CM,LM",Spain,70,75,2400000,4000
V. PÃ¡lsson,27,185.42,83.9,"CB,CDM,CM",Iceland,70,70,1500000,10000
A. Tuia,28,182.88,73.9,CB,Italy,70,72,1700000,3000
J. Troisi,30,175.26,74.8,CAM,Australia,70,70,1700000,6000
Ãlvaro Tejero,22,175.26,68.9,RB,Spain,70,80,2500000,39000
A. Budimir,27,190.5,74.8,ST,Croatia,70,70,1900000,3000
C. Acevedo,22,182.88,73.9,GK,Mexico,70,79,2100000,7000
Johannesson,25,175.26,69.9,"RWB,RB,RM",Iceland,70,75,2000000,5000
K. Kasongo,24,185.42,79.8,ST,DR Congo,70,75,2400000,13000
J. David,19,152.4,77.1,"ST,CF,CAM",Canada,70,84,3700000,7000
A. Zhirov,28,193.04,88.9,CB,Russia,70,70,1500000,4000
Christian Rivera,21,190.5,87.1,"CDM,CM,CAM",Spain,70,79,2400000,4000
JoÃ£o Gamboa,22,187.96,79.8,"CDM,CM",Portugal,70,77,2200000,4000
Pichu Atienza,29,190.5,84.8,CB,Spain,70,71,1600000,6000
A. Werner,23,193.04,84.8,GK,Argentina,70,78,2000000,15000
Ãlex LÃ³pez,31,152.4,71.2,"CM,CDM",Spain,70,70,1600000,4000
J. Maghoma,31,152.4,73,LM,DR Congo,70,70,1700000,16000
F. Valiani,38,172.72,69.9,"CM,RM",Italy,70,70,575000,2000
G. Sara,31,182.88,82.1,GK,Argentina,70,70,1100000,8000
M. Navarrete,27,152.4,73,"CB,RB",Chile,70,71,1700000,2000
K. Shibasaki,34,175.26,64.9,"RM,CAM",Japan,70,70,1100000,7000
M. Kanno,24,190.5,71.2,"CDM,CM,CAM",Saudi Arabia,70,76,2100000,16000
R. Bonevacia,27,170.18,64.9,"LM,CM",Curacao,70,70,1900000,6000
M. Riemann,30,185.42,83,GK,Germany,70,70,1200000,8000
D. DumiÄ‡,27,193.04,84.8,CB,Bosnia Herzegovina,70,73,1800000,10000
Y. Ngbakoto,27,172.72,68.9,"LM,CAM",DR Congo,70,70,1900000,13000
G. Sauro,29,190.5,83.9,CB,Argentina,70,71,1600000,5000
P. Coutts,30,182.88,74.8,CM,Scotland,70,70,1700000,9000
J. Flum,31,190.5,82.1,"CDM,CM",Germany,70,70,1300000,10000
A. Mazzotta,29,182.88,73,"LB,LM",Italy,70,70,1400000,3000
Pedro Pereira,21,182.88,72.1,"RB,RM",Portugal,70,82,2800000,4000
R. Neudecker,22,175.26,63,"LM,CM,LB",Germany,70,78,2600000,8000
M. SchÃ¤ffler,30,187.96,88.9,ST,Germany,70,70,1800000,6000
N. Taylor,30,175.26,74.8,LB,Wales,70,70,1300000,11000
Rafa Navarro,25,172.72,60.8,"RB,RWB,LB",Spain,70,74,1900000,10000
Javi GalÃ¡n,24,172.72,69.9,"LB,LM,LWB",Spain,70,75,2000000,10000
K. Danso,20,190.5,88.9,CB,Austria,70,79,2300000,5000
S. Fletcher,31,185.42,76.2,ST,Scotland,70,70,1600000,17000
H. Al Moqahwi,30,172.72,64.9,"CAM,CM,CDM",Saudi Arabia,70,70,1700000,20000
L. Mchedlidze,28,193.04,87.1,ST,Georgia,70,70,1800000,9000
F. Sotoca,28,187.96,81.2,"ST,RW",France,70,70,1900000,4000
Witi,22,172.72,64,"RW,LW",Mozambique,70,77,2500000,6000
C. Aboagye,24,162.56,54.9,"CM,LM",Ghana,70,76,2400000,10000
P. Heise,27,182.88,78,"LB,LM",Germany,70,70,1500000,14000
M. Kieftenbeld,28,152.4,78,"CDM,CM",Netherlands,70,71,1600000,15000
K. BistroviÄ‡,20,182.88,74.8,"CDM,CM",Croatia,70,82,2800000,1000
J. Eggestein,20,182.88,74.8,"RW,ST",Germany,70,83,3400000,12000
Igor Rossi,29,187.96,82.1,CB,Brazil,70,71,1600000,13000
L. Thomas,26,190.5,91.2,GK,Australia,70,71,1400000,4000
D. Johnson,26,175.26,67.1,"CM,CDM,CAM",Jamaica,70,73,2200000,8000
A. Baby,30,182.88,79.8,LM,Senegal,70,70,1700000,8000
C. Valencia,34,172.72,69.9,ST,Colombia,70,70,1100000,3000
Eber Bessa,26,167.64,72.1,"RW,CAM,CM",Brazil,70,71,2100000,5000
N. NinkoviÄ‡,24,182.88,78,"CAM,CF",Serbia,70,75,2400000,3000
FÃ¡bio Cardoso,24,187.96,81.2,CB,Portugal,70,77,2100000,3000
P. Bartolomei,29,182.88,76.2,CM,Italy,70,70,1800000,3000
N. Dovedan,24,170.18,71.2,"ST,CAM",Austria,70,74,2400000,8000
A. Engin,22,154.94,69.9,"RM,LM,ST",Germany,70,82,3200000,4000
O. Nguette,24,182.88,76.2,"LW,RW",Senegal,70,75,2400000,5000
O. Lewicki,26,170.18,68,"CDM,CM",Sweden,70,72,1800000,4000
M. El Kabir,30,175.26,83.9,"ST,LM",Morocco,70,70,1800000,14000
L. Villalba,24,152.4,73,LB,Argentina,70,75,2000000,9000
J. Vanlerberghe,22,190.5,84.8,"CDM,CB,CM",Belgium,70,77,2100000,10000
F. Falco,27,170.18,69.9,"CAM,RW",Italy,70,70,1900000,3000
M. Franke,25,193.04,89.8,CB,Germany,70,74,1900000,14000
C. Nyman,26,185.42,82.1,ST,Sweden,70,73,2300000,5000
E. Imorou,30,154.94,78,LB,Benin,70,70,1300000,12000
M. Ardemagni,31,185.42,83,ST,Italy,70,70,1600000,3000
M. Matvienko,22,182.88,73.9,LB,Ukraine,70,80,2500000,1000
G. DÃ­az,30,175.26,74.8,"RB,RM",Argentina,70,70,1300000,8000
I. Plastun,28,193.04,79.8,CB,Ukraine,70,71,1700000,11000
P. Cuadra,23,165.1,62.1,"ST,LM",Argentina,70,79,2800000,11000
T. Kister,32,193.04,93,CB,Germany,70,70,1200000,4000
S. Aigner,31,182.88,73,"ST,RM",Germany,70,70,1700000,6000
C. Oliveira Souza,23,172.72,68,"RM,LM",Brazil,70,79,2700000,5000
G. Gimbert,33,182.88,79.8,"ST,LW",France,70,70,1400000,5000
Z. Bakkali,23,167.64,69.9,"LM,RM,CF",Belgium,70,76,2400000,10000
S. Manolev,33,185.42,78.9,"RB,RM",Bulgaria,70,70,,
K. N'Doram,23,185.42,77.1,CDM,France,70,79,2400000,24000
Alef,24,185.42,74.8,"CDM,CM",Brazil,70,76,2100000,1000
Javi Lara,33,152.4,73,"CM,CDM,CAM,LM",Spain,70,70,1300000,6000
T. HuboÄan,33,182.88,69.9,"CB,LB",Slovakia,70,70,1000000,20000
D. Fisher,24,175.26,69.9,RB,England,70,74,1900000,7000
S. MartÃ­nez,25,175.26,68,"CM,CDM",Chile,70,73,2200000,6000
G. GÃ³mez,34,182.88,82.1,CDM,Panama,70,70,550000,1000
Javi Varas,36,182.88,73.9,GK,Spain,70,70,425000,6000
Nilson Padilho,31,182.88,81.2,CAM,Brazil,70,70,1700000,10000
M. Seuntjens,26,187.96,81.2,"ST,CAM,LW,RW",Netherlands,70,72,2200000,10000
F. Mercado,28,175.26,73.9,ST,Colombia,70,70,1800000,2000
M. Duelund,21,154.94,69.9,"RW,LW,CM",Denmark,70,78,2600000,1000
J. OnguÃ©nÃ©,21,185.42,77.1,CB,Cameroon,70,82,2800000,12000
R. Cardozo,29,170.18,68.9,LM,Bolivia,70,70,,
B. RÃ¶cker,29,198.12,92.1,CB,Germany,70,71,1600000,14000
